trial,pacman,ghost
1,20,100
2,60,140
3,20,100
4,130,50
5,140,60
6,50,130
7,30,110
8,140,60
9,20,100
10,120,40
11,80,0
12,50,130
13,130,50
14,60,140
15,50,130
16,140,60
17,30,110
18,40,120
19,130,50
20,130,50
21,150,70
22,50,130
23,60,140
24,60,140
25,50,130
26,30,110
27,160,80
28,120,40
29,40,120
30,140,60
31,20,100
32,140,60
33,120,40
34,150,70
35,70,150
36,140,60
37,120,40
38,50,130
39,50,130
40,70,150
41,30,110
42,160,80
43,60,140
44,50,130
45,30,110
46,120,40
47,30,110
48,40,120
49,120,40
50,80,0
51,20,100
52,60,140
53,140,60
54,30,110
55,70,150
56,70,150
57,30,110
58,50,130
59,40,120
60,70,150
61,60,140
62,30,110
63,80,0
64,70,150
65,140,60
66,140,60
67,120,40
68,60,140
69,20,100
70,20,100
71,80,0
72,50,130
73,140,60
74,130,50
75,160,80
76,50,130
77,130,50
78,150,70
79,40,120
80,60,140
81,160,80
82,120,40
83,60,140
84,160,80
85,70,150
86,30,110
87,30,110
88,120,40
89,20,100
90,30,110
91,60,140
92,120,40
93,80,0
94,120,40
95,60,140
96,50,130
97,130,50
98,50,130
99,80,0
100,140,60
101,30,110
102,150,70
103,60,140
104,70,150
105,40,120
106,70,150
107,160,80
108,20,100
109,160,80
110,130,50
111,130,50
112,60,140
113,150,70
114,130,50
115,140,60
116,120,40
117,80,0
118,70,150
119,20,100
120,60,140
121,130,50
122,80,0
123,140,60
124,150,70
125,140,60
126,140,60
127,120,40
128,20,100
129,150,70
130,130,50
131,130,50
132,40,120
133,20,100
134,70,150
135,120,40
136,150,70
137,60,140
138,20,100
139,70,150
140,20,100
141,30,110
142,30,110
143,70,150
144,70,150
145,70,150
146,70,150
147,50,130
148,160,80
149,30,110
150,140,60
151,80,0
152,160,80
153,160,80
154,140,60
155,130,50
156,20,100
157,30,110
158,120,40
159,120,40
160,30,110
161,130,50
162,160,80
163,150,70
164,30,110
165,160,80
166,30,110
167,150,70
168,140,60
169,130,50
170,160,80
171,70,150
172,60,140
173,140,60
174,20,100
175,20,100
176,60,140
177,40,120
178,160,80
179,140,60
180,20,100
181,60,140
182,40,120
183,70,150
184,140,60
185,150,70
186,50,130
187,140,60
188,20,100
189,150,70
190,150,70
191,50,130
192,50,130
193,50,130
194,150,70
195,20,100
196,130,50
197,20,100
198,160,80
199,20,100
200,50,130
